                   H::ARIRANG |                sac:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   4, max   4, sds 000) exs: 303010, 304617, 307761, mpv: [1.363e-04, 2.800e-03, 1.700e-04], [; ; ]
                   H::ARIRANG |               sac:1048576000 |    2 | R (822/ 879 ~0.935; c R (293/ 293) | hcr:   4, max   4, sm: 50.00 %, sds 111) exs: 337866, 337867, 337868, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |               sac:1048576000 |    3 | R (822/ 879 ~0.935; c R (293/ 293) | hcr:   4, max   4, sm: 25.00 %, sds 111) exs: 331424, 331425, 331426, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   H::ARIRANG |               sac:1048576000 |    4 | - (  1/ 897 ~0.001; c - (  0/ 299) | hcr:   4, max   4, sds 000) exs: 321019, 321122, 321227, mpv: [1.589e-06, 2.900e-04, 2.663e-03], [168; ; ]
                    H::AURORA |                 ctr:10485760 |    0 | R (600/ 636 ~0.943; c R (210/ 212) | hcr:  - , max  17, sm: 100.00 %, sds 111) exs: 301439, 313107, 313245, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                 ctr:10485760 |    2 | R (429/ 642 ~0.668; c R (147/ 214) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 301442, 304624, 307768, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                 ctr:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 301445, 304630, 307774, mpv: [7.700e-03, 3.839e-04, 1.859e-03], [; ; ]
                    H::AURORA |                 ctr:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 301448, 304636, 307780, mpv: [3.261e-03, 2.043e-03, 3.100e-03], [; ; ]
                    H::AURORA |                 ctr:10485760 |    7 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 378282, 378283, 378284, mpv: [1.000e-02, 1.050e-03, 2.465e-03], [; ; ]
                    H::AURORA |                ctr:104857600 |    0 | R (632/ 729 ~0.867; c R (241/ 243) | hcr:  - , max  17, sm: 100.00 %, sds 111) exs: 303011, 313106, 313244, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                ctr:104857600 |    2 | R (469/ 735 ~0.638; c R (166/ 245) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 303014, 304627, 307771, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                ctr:104857600 |    4 | - (  1/ 735 ~0.001; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 303017, 304633, 307777, mpv: [2.203e-03, 2.162e-03, 4.000e-08], [; ; 448]
                    H::AURORA |                ctr:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 303020, 304639, 307783, mpv: [4.319e-03, 2.071e-03, 4.572e-03], [; ; ]
                    H::AURORA |                ctr:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 378285, 378286, 378287, mpv: [3.485e-03, 1.600e-03, 4.489e-05], [; ; ]
                    H::AURORA |               ctr:1048576000 |    1 | R (605/ 897 ~0.674; c R (221/ 299) | hcr:  - , max  17, sm: 94.12 %, sds 111) exs: 337869, 337870, 337871, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |               ctr:1048576000 |    2 | R (605/ 897 ~0.674; c R (221/ 299) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 331427, 331428, 331429, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |               ctr:1048576000 |    3 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:  - , max  17, sds 000) exs: 321020, 321332, 321345, mpv: [9.000e-04, 1.787e-05, 3.200e-04], [; ; ]
                    H::AURORA |               ctr:1048576000 |    4 | - (  0/ 897 ~0.000; c - (  2/ 299) | hcr:  - , max  17, sds 000) exs: 336066, 336067, 336068, mpv: [9.000e-04, 1.787e-05, 3.200e-04], [; ; ]
                    H::AURORA |               ctr:1048576000 |    5 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max  17, sds 000) exs: 336069, 336070, 336071, mpv: [1.801e-04, 2.152e-03, 6.900e-04], [; ; ]
                    H::AURORA |               ctr:1048576000 |    6 | - (  0/ 897 ~0.000; c - (  1/ 299) | hcr:  - , max  17, sds 000) exs: 337872, 337873, 337874, mpv: [1.801e-04, 2.152e-03, 6.900e-04], [; ; ]
                    H::AURORA |               ctr:1048576000 |    7 | - (  1/ 897 ~0.001; c - (  0/ 299) | hcr:  - , max  17, sds 000) exs: 337875, 337876, 337877, mpv: [3.000e-03, 1.317e-03, 9.137e-06], [; ; 168]
                    H::AURORA |                  hw:10485760 |    0 | R (607/ 642 ~0.945; c R (212/ 214) | hcr:  - , max  17, sm: 100.00 %, sds 111) exs: 301440, 304619, 307763, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                  hw:10485760 |    2 | R (326/ 642 ~0.508; c R (124/ 214) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 301443, 304625, 307769, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                  hw:10485760 |    4 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 301446, 304631, 307775, mpv: [6.148e-04, 6.900e-04, 2.043e-03], [; ; ]
                    H::AURORA |                  hw:10485760 |    6 | - (  0/ 642 ~0.000; c - (  0/ 214) | hcr:  - , max  17, sds 000) exs: 301449, 304637, 307781, mpv: [2.244e-03, 6.931e-03, 1.691e-03], [; ; ]
                    H::AURORA |                  hw:10485760 |    7 | - (  0/ 642 ~0.000; c - (  1/ 214) | hcr:  - , max  17, sds 000) exs: 378288, 378289, 378290, mpv: [2.040e-03, 1.700e-04, 2.800e-03], [; ; ]
                    H::AURORA |                 hw:104857600 |    0 | R (639/ 735 ~0.869; c R (242/ 245) | hcr:  - , max  17, sm: 100.00 %, sds 111) exs: 303012, 304622, 307766, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                 hw:104857600 |    2 | R (402/ 735 ~0.547; c R (138/ 245) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 303015, 304628, 307772, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                 hw:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 303018, 304634, 307778, mpv: [5.180e-04, 7.900e-04, 4.079e-04], [; ; ]
                    H::AURORA |                 hw:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 303021, 304640, 307784, mpv: [6.803e-04, 1.000e-03, 3.109e-03], [; ; ]
                    H::AURORA |                 hw:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:  - , max  17, sds 000) exs: 378291, 378292, 378293, mpv: [8.000e-04, 8.249e-05, 7.100e-03], [; ; ]
                    H::AURORA |                hw:1048576000 |    1 | R (509/ 897 ~0.567; c R (184/ 299) | hcr:  - , max  17, sm: 94.12 %, sds 111) exs: 337878, 337879, 337880, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                hw:1048576000 |    2 | R (509/ 897 ~0.567; c R (184/ 299) | hcr:  - , max  17, sm: 88.24 %, sds 111) exs: 331430, 331431, 331432, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                    H::AURORA |                hw:1048576000 |    3 | - (  0/ 897 ~0.000; c - (  0/ 299) | hcr:  - , max  17, sds 000) exs: 321021, 321123, 321228, mpv: [2.566e-03, 1.900e-03, 2.790e-05], [; ; ]
