                   B:S:Chacha |               zero:104857600 |    1 | R (662/ 729 ~0.908; c R (241/ 243) | hcr:   6, max  20, sm: 95.00 %, sds 111) exs: 331583, 331584, 331585, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |               zero:104857600 |    2 | R (567/ 735 ~0.771; c R (198/ 245) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 331586, 331587, 331588, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |               zero:104857600 |    3 | R ( 69/ 735 ~0.094; c R ( 27/ 245) | hcr:   6, max  20, sm: 85.00 %, sds 111) exs: 331589, 331590, 331591, mpv: [1.311e-09, 4.881e-303, 1.976e-323]
                   B:S:Chacha |               zero:104857600 |    4 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 331592, 331593, 331594, mpv: [5.872e-04, 3.027e-03, 1.502e-03], [; ; ]
                   B:S:Chacha |               zero:104857600 |    5 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 331595, 331596, 331597, mpv: [3.474e-03, 2.024e-03, 4.400e-03], [; ; ]
                   B:S:Chacha |               zero:104857600 |    6 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 331598, 331599, 331600, mpv: [3.000e-03, 6.367e-03, 6.400e-04], [; ; ]
                   B:S:Chacha |               zero:104857600 |    7 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379110, 379111, 379112, mpv: [3.384e-03, 7.265e-04, 8.193e-03], [; ; ]
                   B:S:Chacha |               zero:104857600 |    8 | - (  0/ 735 ~0.000; c - (  0/ 245) | hcr:   6, max  20, sds 000) exs: 379113, 379114, 379115, mpv: [5.762e-03, 1.900e-03, 1.010e-03], [; ; ]
                   B:S:Chacha |              zero:1048576000 |    2 | R (680/ 897 ~0.758; c R (242/ 299) | hcr:   6, max  20, sm: 90.00 %, sds 111) exs: 337956, 337957, 337958, mpv: [0.000e+00, 0.000e+00, 0.000e+00]
                   B:S:Chacha |              zero:1048576000 |    3 | R ( 91/ 897 ~0.101; c R ( 34/ 299) | hcr:   6, max  20, sm: 85.00 %, sds 111) exs: 331601, 331602, 331603, mpv: [5.929e-323, 5.929e-323, 5.929e-323]
